word,difficulty
Abend,1
Abenddämmerung,2
Abendrot,3
Altschnee,3
Ambosswolke,4
Anemometer,4
Asteroid,3
Asteroidengürtel,4
Atmosphäre,3
Aufheiterung,2
Aufwind,3
Barometer,2
Bergwind,2
Bewölkung,2
Bewölkungsgrad,4
Bise,4
Blauhimmel,1
Blitz,2
Blitzableiter,2
Blitzbahn,4
Blitzeis,3
Blitzentladung,3
Blitzgabel,3
Blitzkanal,3
Blitzlicht,2
Blitzschlag,2
Blitzstrahl,3
Bodennebel,3
Brise,3
Brockengespenst,4
Böe,3
Böigkeit,3
Dauerregen,3
Donner,2
Donnerhall,3
Donnerknall,2
Donnerrolle,3
Donnerschlag,2
Donnerwetter,2
Doppelstern,3
Druckgebiet,2
Druckwelle,3
Dunkelheit,1
Dunst,2
Dunstglocke,4
Dunstschleier,2
Dämmerlicht,3
Dämmerung,2
Dürre,3
Eis,1
Eisblume,3
Eiseskälte,2
Eisfläche,2
Eiskappe,3
Eiskern,3
Eisklumpen,2
Eiskristall,3
Eiskälte,2
Eisnadel,3
Eispanzer,3
Eisregen,3
Eisschicht,3
Eisscholle,3
Eissplitter,3
Eiswind,3
Eiszapfen,2
Erdachse,3
Fallstreifen,4
Fallwind,3
FataMorgana,4
Federwolke,3
Fernglas,1
Feuchte,2
Finsternis,2
Firmament,3
Fixstern,2
Frost,2
Frostgrenze,3
Frostnacht,2
Frostperiode,3
Frosttag,2
Frühling,2
Föhn,3
Galaxie,3
Gegenwind,2
Gewitter,2
Gewitterfront,4
Gewitterhimmel,2
Gewitterkern,3
Gewitterlinie,3
Gewitterneigung,3
Gewitterregen,3
Gewitterturm,3
Gewitterwolke,3
Gewitterzelle,3
Glätte,2
Graupel,4
Graupelschauer,3
Hagel,2
Hagelkorn,3
Hagelschauer,3
Hagelschlag,3
Hagelsturm,3
Hagelwolke,3
Halbmond,2
Haufenwolke,3
Herbst,2
Himmel,1
Himmelsblau,3
Himmelsbläue,3
Himmelsbogen,3
Himmelsfenster,3
Himmelsfunkeln,3
Himmelsgewölbe,3
Himmelsglanz,3
Himmelsglühen,3
Himmelsgold,3
Himmelsgrau,3
Himmelskuppel,2
Himmelskörper,3
Himmelsleuchten,3
Himmelslicht,3
Himmelslinie,2
Himmelsrichtung,2
Himmelsrot,3
Himmelsweite,3
Himmelszeichen,3
Himmelszelt,4
Hitze,1
Hitzerekord,2
Hitzestau,4
Hitzewelle,3
Hochdruckgebiet,2
Hochnebel,3
Horizont,2
Hurrikan,3
Hygrometer,4
Höhenwind,3
Inversion,4
Ionosphäre,4
Isobare,4
Isotherme,4
Kaltfront,3
Kaltluft,2
Klimazone,2
Komet,3
Kometenbahn,3
Kometenschweif,3
Kondensation,4
Konjunktion,4
Kosmos,2
Kugelblitz,4
Kumulus,4
Kälte,1
Kälteeinbruch,3
Kälterekord,2
Kältewelle,3
Küstenwind,2
Landregen,3
Landwind,2
Lichthof,4
Luft,1
Luftdruck,3
Luftdruckfall,4
Luftfeuchtigkeit,3
Luftmasse,3
Luftspiegelung,3
Luftstrom,3
Luftzug,1
Mesosphäre,4
Meteor,3
Meteorit,3
Meteorologe,3
Meteorschauer,4
Meteorspur,3
Milchstraße,3
Mistral,4
Mittag,2
Mitternacht,2
Mond,1
Mondaufgang,3
Mondbahn,3
Mondbogen,4
Mondfinsternis,3
Mondglanz,2
Mondhalo,4
Mondkranz,3
Mondkrater,3
Mondkälte,3
Mondlicht,2
Mondoberfläche,3
Mondphase,3
Mondrand,2
Mondschatten,3
Mondscheibe,2
Mondschein,2
Mondsichel,3
Mondumlauf,4
Monduntergang,3
Monsun,3
Morgen,1
Morgendämmerung,2
Morgenrot,3
Nacht,1
Nassschnee,3
Nebel,2
Nebelbank,3
Nebelschicht,2
Nebeltropfen,3
Nebensonne,4
Neumond,3
Neuschnee,2
Niederschlag,3
Niederschlagsart,3
Niederschlagsgebiet,3
Niederschlagsmenge,3
Nieselregen,3
Nieselwetter,2
Nordwind,2
Nullgradgrenze,4
Nässe,2
Opposition,3
Orkan,3
Ostwind,2
Ozon,3
Packeis,4
Passat,3
Planet,2
Planetarium,2
Planetenring,3
Platzregen,3
Polarlicht,3
Pulverschnee,3
Quellwolke,3
Raumfahrt,2
Raumsonde,4
Raureif,3
Regen,1
Regenbogen,2
Regenfront,3
Regengebiet,2
Regenguss,2
Regenjacke,2
Regenmantel,2
Regenmesser,3
Regenpause,2
Regenpfütze,2
Regenradar,3
Regenschauer,2
Regenschirm,2
Regenschleier,3
Regentag,2
Regentropfen,2
Regenwasser,2
Regenwolke,2
Regenzone,2
Reif,2
Reifbildung,3
Rückenwind,2
Sandsturm,3
Satellit,3
Satellitenbild,3
Schatten,1
Schauer,2
Schauerlinie,4
Schichtwolke,3
Schleierwolke,3
Schmelzwasser,3
Schnee,1
Schneeball,1
Schneeblindheit,3
Schneebrett,4
Schneedecke,2
Schneefahne,3
Schneefall,2
Schneefallgrenze,3
Schneeflocke,2
Schneegestöber,3
Schneeglanz,3
Schneegraupel,4
Schneegriesel,4
Schneekorn,3
Schneekristall,3
Schneekruste,3
Schneekugel,2
Schneelawine,3
Schneemann,1
Schneematsch,3
Schneepuder,3
Schneeregen,3
Schneeschauer,3
Schneeschicht,3
Schneeschmelze,3
Schneesturm,3
Schneetreiben,3
Schneeverwehung,4
Schneewall,3
Schneewehe,4
Schwerkraft,3
