word,difficulty
Abgabetermin,3
Ablage,3
Ablehnung,2
Abmahnung,4
Abmeldung,2
Abschied,2
Abstimmung,4
Abteilung,3
Akte,3
Aktenvernichter,4
Aktenzeichen,4
Amt,2
Anerkennung,3
Angebot,3
Anleitung,2
Anmeldung,2
Anruf,1
Ansehen,3
Antrag,3
Anwesenheit,2
Anwesenheitsliste,4
Anzug,2
Arbeit,1
Arbeitgeber,3
Arbeitnehmer,3
Arbeitsamt,3
Arbeitsanweisung,4
Arbeitsbeginn,3
Arbeitsbelastung,4
Arbeitsende,3
Arbeitsgericht,4
Arbeitskleidung,3
Arbeitslosigkeit,3
Arbeitsmarkt,3
Arbeitsplatz,2
Arbeitsplatzsicherheit,4
Arbeitsvermittlung,4
Arbeitsvertrag,3
Arbeitsweg,2
Arbeitszeit,2
Arbeitszeugnis,4
Arbeitszufriedenheit,4
Archiv,3
Arzttermin,2
Assistent,2
Aufgabe,1
Aufgabenliste,2
Auftrag,2
Aufzug,1
Ausbildung,2
Ausfertigung,4
Ausgleich,3
Aushang,2
Aushilfe,3
Auskunft,3
Auswahlgespräch,4
Ausweis,2
Auswertung,3
Auszubildender,4
Bahn,1
Baustelle,2
Baustellenleiter,4
Befragung,4
Befristung,3
Beförderung,3
Begrüßung,2
Behörde,3
Beitrag,3
Bekanntgabe,3
Bekanntschaft,3
Belegschaft,3
Benimm,3
Benutzerkonto,4
Beratung,2
Berechtigung,4
Bereitschaft,4
Bericht,2
Berichtswesen,5
Beruf,1
Berufsberatung,4
Berufserfahrung,3
Bescheid,4
Bescheinigung,4
Beschilderung,4
Beschwerde,3
Besprechung,2
Besprechungsraum,3
Bestellung,3
Besucher,2
Besucherausweis,4
Betriebsarzt,4
Betriebsausflug,3
Betriebsfeier,3
Betriebsgeheimnis,4
Betriebsklima,3
Betriebsordnung,4
Betriebsrat,4
Betriebsurlaub,3
Betriebsversammlung,4
Beurteilung,3
Bewerber,2
Bewerbung,2
Bewerbungsfrist,4
Bewerbungsgespräch,3
Bewerbungsmappe,4
Bewerbungsschreiben,3
Bewerbungstermin,3
Bewerbungstraining,4
Bewertung,3
Bewirtung,4
Bezahlung,2
Bilanz,4
Bildschirm,2
Blazer,3
Bleistift,1
Bonus,3
Branchenwechsel,4
Brief,1
Briefkasten,2
Briefpapier,3
Buchhaltung,4
Buchung,3
Budget,4
Burnout,3
Bus,1
Büro,1
Bürokratie,3
Bürostuhl,2
Chancengleichheit,4
Chef,1
Chefetage,3
Computer,2
Dank,1
Datenbank,4
Datenschutz,4
Dienstanweisung,4
Diensthandy,3
Dienstleistung,3
Dienstplan,3
Dienstreise,3
Dienstreiseantrag,4
Dienstwagen,3
Dokument,3
Dozent,4
Dringlichkeit,4
Drucker,3
Durchwahl,4
Ehrenamt,3
Eigeninitiative,4
Eignungstest,4
Einarbeitung,3
Einfluss,3
Einführung,2
Einkauf,3
Einladung,2
Einladungskarte,3
Einladungsschreiben,3
Einstand,4
Einstellung,3
Einweisung,3
Einzug,2
Empfang,3
Empfangsbereich,3
Empfangsbestätigung,4
Empfangsdame,4
Empfangsschalter,3
Empfangstheke,4
Empfehlung,2
Entscheidung,2
Entschuldigung,2
Entwurf,3
Erfahrung,2
Erfolg,2
Ergebnis,2
Etikette,4
Fahrgemeinschaft,3
Fahrkarte,2
Fahrrad,1
Fehlermeldung,3
Feier,1
Feierabend,2
Fest,1
Festanstellung,3
Firma,1
Flurfunk,3
Formular,3
Formularstapel,4
Fortbildung,3
Freigabe,3
Freizeitausgleich,4
Freundschaft,2
Frist,3
Frühschicht,3
Fähigkeit,2
Führung,2
Führungskraft,4
Gabelstapler,4
Gast,1
