word,difficulty
Abmeldung,3
Abonnement,3
Abonnementpreis,3
Absturz,2
Adapter,2
Administrator,2
Akku,1
Akkustand,2
Aktivierung,3
Aktivierungscode,3
Aktualisierung,3
Algorithmus,4
Anbieter,2
Angriff,2
Anhang,2
Animation,3
Anmeldung,2
Anruf,1
Anschluss,2
Antenne,3
Anwendung,3
Anzeige,2
Arbeitsspeicher,3
Archiv,2
Archivierung,4
Audiodatei,3
Audiosignal,3
Auflösung,3
Aufzeichnung,3
Auswahlmenü,3
Authentifizierung,4
Autofokus,3
Autokorrektur,3
Automatisierung,4
Bandbreite,3
Barcode,3
Batterie,1
Bauteil,3
Beamer,2
Bedienfeld,3
Bedienung,2
Befehl,3
Beitrag,2
Belichtung,3
Benachrichtigung,2
Benutzerführung,3
Benutzerkonto,2
Benutzername,3
Benutzeroberfläche,3
Benutzerrecht,4
Berechtigung,3
Berechtigungscode,4
Berechtigungsprüfung,4
Berechtigungsstufe,4
Bestellung,1
Bestätigungscode,2
Betriebssicherheit,4
Betriebssystem,3
Betrug,2
Bewegungsmelder,2
Bewertung,2
Bezahlvorgang,3
Bildbearbeitung,3
Bilderkennung,3
Bildfreigabe,3
Bildlauf,3
Bildlaufleiste,4
Bildqualität,3
Bildrate,3
Bildschirm,1
Bildschirmaufnahme,3
Bildschirmformat,3
Bildschirmfoto,3
Bildschirmhelligkeit,3
Bildschirmschoner,3
Bildschirmsperre,3
Bildschirmteilung,4
Bildschirmzeit,3
Bildsensor,4
Bildstabilisierung,4
Blog,2
Browser,3
Buchse,3
Cache,4
Chatbot,3
Chatverlauf,3
Chip,3
Cloud,2
Cloudspeicher,3
Computer,1
Cookie,3
Cursor,3
Datei,2
Dateiendung,4
Dateiformat,3
Dateigröße,2
Dateiname,2
Dateisystem,4
Datenaustausch,3
Datenbank,3
Datenbrille,3
Datenfreigabe,3
Datenleitung,3
Datenmodell,4
Datenpaket,4
Datenrate,3
Datenroaming,4
Datensatz,3
Datenschutz,3
Datensicherung,3
Datensparmodus,3
Datenspiegelung,4
Datenstrom,3
Datentransfer,4
Datenträger,4
Datenverkehr,4
Datenverlust,3
Datenvolumen,3
Deaktivierung,3
Diagnose,2
Diagramm,2
Display,2
Dockingstation,3
Dokument,1
Domain,3
Doppelklick,3
Download,2
Drohne,3
Drucker,2
Eingabefeld,3
Einstellung,2
Einwilligung,3
Email,2
Empfang,2
Empfangsstärke,3
Endgerät,3
Energiesparmodus,4
