Delfin,2
Aal,2
Abendrot,3
Adler,3
Affe,1
Ahorn,2
Albatros,4
Alge,3
Alpaka,3
Ameise,1
Ameisenbär,4
Amsel,3
Anakonda,3
Antilope,4
Apfel,1
Armadillo,5
Assel,3
Ast,1
Aue,4
Auerhahn,5
Auster,4
Axolotl,5
Bach,1
Bachstelze,3
Bambus,2
Banane,2
Barrakuda,4
Barsch,4
Basalt,4
Basilikum,2
Beluga,4
Berg,1
Bernstein,4
Biber,3
Biene,1
Birke,2
Birne,2
Bison,3
Blatt,1
Blindschleiche,4
Blitz,2
Blüte,2
Boa,3
Borkenkäfer,3
Brandung,4
Bremse,3
Brennnessel,3
Brise,3
Brombeere,2
Bromelie,3
Buche,3
Buchsbaum,3
Bucht,3
Bussard,4
Bär,2
Büffel,3
Champignon,3
Chamäleon,3
Chinchilla,4
Dachs,3
Delta,4
Dingo,4
Distel,3
Dohle,4
Donner,2
Dorsch,3
Dromedar,3
Drossel,4
Dschungel,2
Dungkäfer,3
Dunst,3
Düne,3
Dürre,4
Ebbe,3
Ebene,3
Eberesche,3
Echidna,5
Edelweiß,4
Efeu,3
Eiche,2
Eichel,3
Eichelhäher,3
Eichhörnchen,3
Eidechse,3
Eintagsfliege,3
Eis,1
Eisbär,3
Eisvogel,4
Elch,3
Elefant,1
Elster,3
Emu,3
Ente,1
Erdbeben,3
Erdbeere,2
Erdmännchen,3
Erdreich,3
Erdrutsch,4
Esche,4
Esel,1
Eule,2
Falke,3
Farn,3
Fasan,4
Faultier,3
Fels,2
Ferkel,3
Feuerwanze,4
Fichte,2
Fink,3
Fisch,1
Fjord,4
Flamingo,3
Flechte,4
Fledermaus,3
Flieder,2
Fliege,1
Floh,3
Fluss,1
Flut,2
Forelle,3
Fossil,3
Frettchen,4
Frosch,1
Frost,3
Fuchs,1
Furt,4
Gans,2
Garnele,3
Gazelle,4
Gebirge,2
Gecko,3
Geier,3
Gepard,4
Geranie,2
Geröll,3
Gestein,2
Gewitter,2
Geysir,4
Gibbon,4
Gimpel,5
Gipfel,2
Giraffe,2
Gischt,4
Gletscher,3
Glühwürmchen,2
Gnu,4
Goldfisch,2
Gorilla,3
Gottesanbeterin,4
Granit,4
Grille,3
Grotte,3
Gänseblümchen,3
Habicht,4
Hagebutte,4
Hagel,3
Hahn,2
Hai,2
Hammerhai,4
Hamster,1
Harz,3
Hase,1
Hasel,3
Hecht,4
Heidekraut,4
Heidelbeere,3
Heilbutt,3
Hering,2
Hermelin,4
Heuschrecke,3
Himbeere,2
Hirsch,3
Hitze,2
Holunder,4
Hornisse,3
Huhn,1
Hummel,3
Hummer,4
Humus,3
Hund,1
Hyazinthe,4
Hyäne,4
Höhle,2
Hügel,1
Igel,3
Iltis,4
Insel,2
Jaguar,3
Jasmin,2
Johannisbeere,4
Kaiman,3
Kaktee,2
Kalk,2
Kamel,2
Kaninchen,3
Kap,3
Karpfen,4
Kastanie,2
Katze,1
Kaulquappe,3
Keimling,4
Kellerassel,4
Kiebitz,4
Kiefer,2
Kies,3
Kieselstein,2
Kirsche,2
Klamm,3
Klee,2
Klippe,4
Knospe,3
Koala,3
Kobra,3
Kojote,3
Kolibri,4
Komet,4
Kompost,2
Kondor,4
Koralle,3
Kormoran,4
Kornblume,3
Krabbe,3
Krake,3
Kranich,4
Krater,2
Krebs,2
Kreuzotter,4
Krill,3
Kristall,3
Krokodil,2
Krokus,2
Krähe,3
Kröte,3
Kuckuck,3
Kugelfisch,4
Kuh,1
Käfer,2
Känguru,2
Küste,3
Lachs,3
Lagune,4
Lama,3
Laus,3
Lava,3
Lavendel,2
Lawine,3
Leguan,3
Lehm,4
Lemming,4
Lemur,4
Leopard,3
Libelle,3
Lichtung,3
Lilie,2
Linde,2
Lotos,3
Luchs,4
Lärche,3
Löwe,1
Löwenzahn,2
Magma,4
Maikäfer,2
Makrele,3
Marder,3
Marderhund,3
Marienkäfer,2
Mauersegler,4
Maultier,3
Maulwurf,3
Maus,1
Meer,1
Meerschweinchen,2
Meise,3
Meteorit,4
Minze,2
Mistel,4
Mohn,3
Molch,3
Mond,1
Monsun,4
Moor,4
Moos,2
Morgenrot,3
Moräne,4
Motte,3
Mungo,4
Murmeltier,4
Muräne,5
Muschel,2
Möwe,2
Mücke,2
Nachtfalter,3
Nachtigall,4
Nadel,1
Nandu,4
Narwal,4
Narzisse,4
Nashorn,3
Nashornkäfer,4
Nebel,2
Nelke,3
Nerz,3
Nilpferd,4
Nordlicht,3
Oase,3
Ohrwurm,2
Okapi,5
Oktopus,3
Orangutan,4
Orchidee,3
Orkan,3
Otter,3
Ozean,2
Palme,2
Panda,2
Papagei,2
Pappel,3
Pavian,3
Pelikan,4
Petersilie,2
Pfad,2
Pfau,3
Pferd,1
Pfifferling,4
Pflaume,2
Pfütze,2
Pilz,2
Pinguin,2
Piranha,3
Pirol,3
Plateau,4
Pollen,4
Preiselbeere,4
Primel,4
Puma,3
Qualle,3
Quarz,4
Quelle,2
Rabe,2
Ratte,2
Raupe,2
Regen,1
Regenbogen,2
Regenwurm,2
Reh,3
Reif,3
Reiher,3
Rentier,3
Riff,4
Rinde,2
Ringelblume,3
Ringelnatter,4
Rinnsal,4
Robbe,3
Robinie,3
Rochen,4
Rose,1
Rosmarin,3
Rotkehlchen,3
Salamander,3
Salbei,3
Samen,2
Sand,1
Sandbank,3
Sardelle,4
Sardine,3
Savanne,3
Schabe,3
Schaf,3
Schakal,3
Schiefer,4
Schildkröte,3
Schilf,4
Schlange,2
Schlucht,4
Schmetterling,2
Schnabeltier,4
Schnecke,1
Schnee,1
Schneeflocke,2
Schnepfe,4
Schnittlauch,2
Schwalbe,3
Schwan,1
Schwein,1
Schwertfisch,4
See,1
Seegras,4
Seegurke,3
Seehund,3
Seeigel,3
Seekuh,4
Seelachs,3
Seelöwe,4
Seepferdchen,3
Seerose,3
Seeschwalbe,4
Seestern,3
Seetang,3
Siebenschläfer,3
Sittich,3
Skorpion,3
Sonne,1
Sonnenblume,2
Sonnenschein,2
Spatz,3
Specht,3
Sperber,3
Spinne,1
Stachelschwein,3
Stamm,2
Star,2
Stechpalme,4
Steinbock,4
Steinfliege,3
Steinpilz,3
Steppe,3
Stern,1
Sternbild,3
Sternschnuppe,2
Stieglitz,5
Stier,2
Storch,3
Strand,1
Strauß,2
Strudel,3
Strömung,3
Sturm,2
Stör,3
Sumpf,3
Tal,2
Tanne,2
Tapir,4
Tau,4
Taube,1
Tausendfüßer,4
Tautropfen,3
Teich,1
Termite,4
Thunfisch,2
Thymian,3
Tiger,2
Tintenfisch,3
Tropfen,1
Trüffel,5
Tsunami,4
Tulpe,2
Tundra,4
Ufer,2
Uhu,3
Ulme,4
Unke,3
Unterholz,4
Veilchen,3
Vielfraß,4
Vulkan,3
Vulkankrater,4
Wacholder,4
Wachtel,4
Wal,2
Wald,1
