word,difficulty
Abendrot,2
Abschlussfeier,3
Advent,3
Adventsfenster,4
Adventsgesteck,3
Adventskalender,2
Adventskonzert,4
Adventskranz,3
Adventslied,4
Adventssonntag,3
Adventszeit,2
Allerheiligen,4
Anstoßen,3
Apfelernte,3
Apfelkuchen,2
Apfelsaft,1
April,1
Aschermittwoch,4
August,1
Badeanzug,2
Badebecken,2
Badehose,2
Badesee,2
Badetuch,1
Badeurlaub,2
Badewetter,2
Baumschmuck,2
Bescherung,3
Blitz,1
Blumenstrauß,1
Blumenvase,1
Blumenzwiebel,4
Blüte,2
Blütenstaub,3
Bowle,3
Bratapfel,2
Bratwurst,1
Bratwurststand,3
Brauchtum,4
Brettspiel,2
Brombeere,2
Buffet,2
Böller,3
Büttenrede,5
Christbaumschmuck,3
Christkind,3
Daunenjacke,3
Dekoration,2
Dezember,1
Dominostein,3
Donner,1
Drachen,2
Dreikönigstag,4
Duftkerze,2
Dämmerung,2
Dürre,3
Eichel,2
Eierbecher,1
Eiersuche,2
Einladung,2
Einladungskarte,2
Einschulung,3
Eisbahn,4
Eisblau,4
Eisblume,3
Eiscreme,2
Eisfläche,3
Eisglätte,4
Eishalle,3
Eiskratzer,3
Eiskunstlauf,3
Eislauf,2
Eisnebel,4
Eisregen,4
Eisschicht,3
Eisscholle,4
Eisstock,4
Eisstockschießen,4
Eiswürfel,1
Eiszapfen,3
Engel,3
Erdbeere,2
Ernte,3
Erntedank,4
Erntefest,3
Erntekrone,4
Erntezeit,3
Fackel,3
Familienrunde,3
Fanfare,3
Fasching,3
Fastenzeit,4
Fastnacht,3
Februar,1
Federweißer,4
Feier,1
Feierlaune,2
Feiertag,2
Ferienlager,3
Fest,1
Festessen,2
Festzelt,3
Festzopf,4
Feuerkorb,3
Feuerschale,3
Feuerstelle,3
Feuerwerk,3
Feuerwerkskörper,3
Feuerzangenbowle,4
Fondue,3
Freibad,1
Frische,2
Fronleichnam,5
Frost,2
Frostnacht,4
Frühling,1
