word,difficulty
Aal,4
Agaragar,5
Aioli,3
Ajvar,3
Amaranth,4
Ananas,2
Anis,4
Apfel,1
Apfelmus,1
Apfelschorle,3
Apfelwein,3
Aprikose,3
Artischocke,4
Aubergine,3
Auflauf,3
Aufstrich,3
Avocado,3
Ayran,3
Backblech,3
Backform,3
Backpapier,2
Backpinsel,3
Backpulver,3
Baguette,2
Baiser,4
Balsamico,3
Banane,1
Basilikum,3
Becher,1
Bier,2
Birne,2
Blauschimmelkäse,4
Blumenkohl,3
Blutwurst,2
Blätterteig,4
Bockwurst,2
Bohne,2
Bohnenkraut,4
Bonbon,2
Bowle,4
Braten,2
Bratensoße,3
Bratkartoffel,3
Bratling,3
Bratwurst,2
Brause,2
Brei,2
Brezel,3
Brokkoli,3
Brombeere,3
Brot,1
Bruschetta,3
Brötchen,3
Brühe,2
Bulgur,4
Burger,2
Burrito,3
Butter,1
Butterkeks,3
Buttermilch,3
Cappuccino,3
Cashew,4
Champignon,3
Chiasamen,3
Chicorée,4
Chili,3
Chinakohl,2
Chutney,3
Clementine,2
Cola,1
Couscous,3
Croissant,3
Crouton,4
Curry,3
Currywurst,2
Dampfnudel,3
Dattel,3
Deckel,1
Dill,3
Dinkel,4
Dip,3
Dosenöffner,3
Döner,3
Edamame,4
Ei,1
Eierlikör,3
Eiersalat,2
Eintopf,3
Eis,1
Eisbergsalat,2
Eistee,3
Eiswaffel,3
Ente,2
Erbse,2
Erdbeere,2
Erdnussbutter,3
Espresso,3
Essig,3
Essigessenz,4
Esskastanie,4
Estragon,4
Falafel,3
Feige,3
Feldsalat,3
Fenchel,4
Feta,3
Fisch,2
Fischstäbchen,2
Fischsuppe,4
Flasche,1
Fleisch,2
Forelle,3
Frikadelle,3
Frischkäse,2
Frühlingsrolle,4
Gabel,2
Gans,2
Garnele,3
Gebäck,2
Gefrierfach,3
Gelatine,3
Gerste,4
Gewürz,2
Glas,1
Glühwein,3
Gnocchi,3
Granatapfel,4
Grapefruit,3
Grieß,3
Grießbrei,3
Grillsauce,2
Grünkohl,3
Grütze,3
Guacamole,3
Guave,3
Gulasch,3
Gummibär,3
Gurke,1
Hackfleisch,2
Hafer,3
Hagebutte,4
Haselnuss,3
Hefe,2
Hefeteig,3
Hefezopf,3
Heidelbeere,3
Herd,1
Hering,3
Himbeere,2
Hirse,3
Hollandaise,3
Holunderbeere,3
Honig,3
Hummer,4
Hummus,3
Hähnchen,3
Hüttenkäse,3
Ingwer,3
Joghurt,3
Johannisbeere,3
Kabeljau,3
Kaffee,1
Kaffeefilter,2
Kaiserschmarrn,4
Kakao,3
Kakaobutter,3
Kakaopulver,3
Kaki,3
Kanne,2
Kaper,4
Karamell,2
Kardamom,4
Karotte,1
Kartoffel,1
Kartoffelbrei,2
Kartoffelgratin,4
Kartoffelpuffer,3
Kartoffelsalat,2
Kaviar,5
Kefir,4
Keks,1
Ketchup,3
Kichererbse,4
Kirsche,2
Kirschsaft,3
Kiwi,2
Kloß,3
Knabbermix,3
Knoblauch,3
Knäckebrot,2
Knödel,2
Kochlöffel,2
Kochtopf,2
Kohlrabi,3
Kokosnuss,2
Kombucha,4
Kompott,3
Kopfsalat,2
Koriander,4
Korken,3
Korkenzieher,3
Krabbe,3
Krapfen,3
Kresse,3
Kreuzkümmel,4
Krug,2
Kräuterbutter,3
Kräutersalz,3
Kräutertee,3
Kuchen,2
Kurkuma,4
Käse,1
Käsekuchen,2
Küchentuch,2
Küchenwaage,3
Kühlbox,2
Kühlschrank,2
Kürbis,2
Kürbiskern,3
Kürbissuppe,3
Lachs,3
Lakritz,2
Lamm,2
Lasagne,3
Lassi,3
Lauch,2
Leber,2
Leberwurst,2
Lebkuchen,3
Leinsamen,4
Likör,3
Limette,3
Limonade,2
Linse,3
Linsensuppe,3
Litschi,4
Lorbeer,4
Löffel,2
Mais,2
Majoran,4
Makrele,3
Mandarine,2
Mandel,2
Mango,2
Mangold,4
Maracuja,3
Marinade,3
Marmelade,3
Marone,4
Marzipan,2
Matcha,4
Mate,2
Matjes,4
Maultasche,4
Mayonnaise,3
Meerrettich,3
Mehl,1
Melone,2
Messbecher,2
Messer,1
Milch,1
