word,difficulty
Abenteuer,2
Abfahrt,2
Abpfiff,3
Abseits,3
Abstieg,3
Aerobic,4
Aikido,4
Almwiese,4
Angeln,2
Anpfiff,3
Anstoß,2
Anzeigetafel,3
Aufschlag,3
Aufstieg,3
Aufwärmen,2
Ausdauer,2
Ausflug,1
Ausscheidung,3
Aussichtspunkt,3
Aussichtsturm,3
Auswechslung,3
Auswärtsspiel,3
Auszeit,2
Backbord,4
Badeanzug,2
Badeball,2
Badegast,3
Badehose,3
Badeinsel,3
Badekappe,2
Badeleiter,4
Bademantel,2
Badesee,3
Badetuch,2
Badeurlaub,2
Badminton,3
Bahnrad,4
Balance,2
Ball,1
Ballbesitz,3
Bandage,3
Baseball,3
Basketball,2
Bergsteigen,3
Bestzeit,2
Bewegung,1
Biathlon,3
Billard,2
Biwak,4
Boccia,3
Bodenturnen,4
Bodybuilding,3
Bogenschießen,4
Bolzplatz,3
Bootshaus,3
Bouldern,3
Bowling,2
Boxen,3
Bremshebel,4
Bremsklotz,4
Brennball,2
Brettspiel,2
Bug,3
Camping,1
Campingstuhl,2
Curling,4
Dartpfeil,3
Dartspiel,3
Dehnen,2
Derby,3
Diskuswurf,4
Domino,2
Drachensteigen,3
Dreisprung,4
Dribbling,3
Dusche,1
Eckball,3
Eckfahne,4
Einlauf,3
Eintritt,2
Eintrittskarte,2
Einwurf,2
Einzelsport,4
Eisbahn,3
Eishalle,3
Eishockey,3
Eiskunstlauf,4
Eislaufen,2
Eisstock,3
Eisstockschießen,4
Elfmeter,3
Ellbogenschützer,4
Energieriegel,3
Erholung,1
Ersatzbank,3
Ersatzspieler,3
Etappe,3
Fahrrad,1
Fahrradkette,4
Fahrradkorb,2
Fahrradreifen,4
Fahrradständer,3
Fan,2
Fankurve,3
Fechten,4
Federball,3
Feldbett,3
Feldhockey,4
Fernglas,3
Feuerschale,3
Feuerzeug,1
Finale,2
Fitness,2
Fitnessstudio,3
Flipper,2
Flutlicht,3
Freibad,2
Freistoß,3
Freizeit,1
Freizeitbad,2
Freizeitpark,2
