word,difficulty,genre_ids,genre_names,hint_count,hints
Abgabe,2,9|12,Gesellschaft & Beruf|Gefühle & Abstraktes,5,"Frist~A_TARGET_VIBE~2,Formular~A_TARGET_VIBE~2,Gebühr~A_TARGET_VIBE~2,Kasse~A_TARGET_VIBE~3,Quittung~A_TARGET_VIBE~3"
Ablass,4,4|8,Kultur & Kunst|Geschichte & Mythos,7,"Sünde~A_TARGET_VIBE~3,Beichte~A_TARGET_VIBE~3,Buße~A_TARGET_VIBE~3,Predigt~A_TARGET_VIBE~3,Wallfahrt~A_TARGET_VIBE~4,Ablassbrief~A_TARGET_VIBE~4,Sühne~A_TARGET_VIBE~4"
Abtei,3,3|4|8,Orte & Reisen|Kultur & Kunst|Geschichte & Mythos,6,"Abt~A_TARGET_VIBE~2,Mönch~A_TARGET_VIBE~2,Glocke~A_TARGET_VIBE~2,Kreuzgang~A_TARGET_VIBE~3,Klausur~A_TARGET_VIBE~3,Chor~A_TARGET_VIBE~3"
Adel,3,8|9,Geschichte & Mythos|Gesellschaft & Beruf,6,"Wappen~A_TARGET_VIBE~2,Erbe~A_TARGET_VIBE~2,Stand~A_TARGET_VIBE~2,Titel~A_TARGET_VIBE~3,Lehen~A_TARGET_VIBE~3,Hof~A_TARGET_VIBE~3"
Adelshaus,3,8|9,Geschichte & Mythos|Gesellschaft & Beruf,7,"Wappen~A_TARGET_VIBE~2,Stammbaum~A_TARGET_VIBE~2,Erbe~A_TARGET_VIBE~2,Schloss~A_TARGET_VIBE~3,Titel~A_TARGET_VIBE~3,Hof~A_TARGET_VIBE~3,Haus~B_PART_VIBE~2"
Ahne,2,8|9,Geschichte & Mythos|Gesellschaft & Beruf,5,"Vorfahr~A_TARGET_VIBE~2,Stammbaum~A_TARGET_VIBE~2,Erbe~A_TARGET_VIBE~2,Nachlass~A_TARGET_VIBE~2,Wappen~A_TARGET_VIBE~3"
Ahnengalerie,3,8|9,Geschichte & Mythos|Gesellschaft & Beruf,7,"Portrait~A_TARGET_VIBE~2,Rahmen~A_TARGET_VIBE~2,Stammbaum~A_TARGET_VIBE~2,Schloss~A_TARGET_VIBE~3,Vorfahr~A_TARGET_VIBE~3,Wappen~A_TARGET_VIBE~3,Galerie~B_PART_VIBE~2"
Ahnenkult,4,8|9,Geschichte & Mythos|Gesellschaft & Beruf,7,"Ritual~A_TARGET_VIBE~3,Opfergabe~A_TARGET_VIBE~3,Schrein~A_TARGET_VIBE~3,Vorfahr~A_TARGET_VIBE~3,Totem~A_TARGET_VIBE~4,Grabhügel~A_TARGET_VIBE~4,Kult~B_PART_VIBE~3"
Ahnentafel,3,8|9,Geschichte & Mythos|Gesellschaft & Beruf,7,"Stammbaum~A_TARGET_VIBE~2,Archiv~A_TARGET_VIBE~2,Wappen~A_TARGET_VIBE~2,Vorfahr~A_TARGET_VIBE~3,Siegel~A_TARGET_VIBE~3,Nachlass~A_TARGET_VIBE~3,Tafel~B_PART_VIBE~2"
Alchemie,5,8|12,Geschichte & Mythos|Gefühle & Abstraktes,8,"Retorte~A_TARGET_VIBE~3,Elixier~A_TARGET_VIBE~3,Destillation~A_TARGET_VIBE~3,Quecksilber~A_TARGET_VIBE~3,Labor~A_TARGET_VIBE~4,Philosophenstein~A_TARGET_VIBE~4,Schmelze~A_TARGET_VIBE~4,Rune~A_TARGET_VIBE~4"
Alraune,4,2|8,Natur & Tiere|Geschichte & Mythos,7,"Wurzel~A_TARGET_VIBE~3,Trank~A_TARGET_VIBE~3,Amulett~A_TARGET_VIBE~3,Hexe~A_TARGET_VIBE~3,Kräuter~A_TARGET_VIBE~4,Schrei~A_TARGET_VIBE~4,Aberglaube~A_TARGET_VIBE~4"
Altar,2,4|8,Kultur & Kunst|Geschichte & Mythos,5,"Kerze~A_TARGET_VIBE~2,Weihrauch~A_TARGET_VIBE~2,Kapelle~A_TARGET_VIBE~2,Gebet~A_TARGET_VIBE~2,Messe~A_TARGET_VIBE~3"
Altartuch,3,4|8,Kultur & Kunst|Geschichte & Mythos,7,"Stoff~A_TARGET_VIBE~2,Stickerei~A_TARGET_VIBE~2,Kerze~A_TARGET_VIBE~2,Weihrauch~A_TARGET_VIBE~3,Kapelle~A_TARGET_VIBE~3,Messe~A_TARGET_VIBE~3,Tuch~B_PART_VIBE~2"
Altertum,3,8|12,Geschichte & Mythos|Gefühle & Abstraktes,6,"Antike~A_TARGET_VIBE~2,Ausgrabung~A_TARGET_VIBE~2,Relikt~A_TARGET_VIBE~2,Museum~A_TARGET_VIBE~3,Epoche~A_TARGET_VIBE~3,Jahrhundert~A_TARGET_VIBE~3"
