word,difficulty,genre_ids,genre_names,hint_count,hints
Abfalleimer,1,10,Haushalt & Wohnen,4,"Deckel~A_TARGET_VIBE~2,Sack~A_TARGET_VIBE~2,Sortieren~A_TARGET_VIBE~2,Tüte~A_TARGET_VIBE~2"
Abfluss,2,10,Haushalt & Wohnen,4,"Rohr~A_TARGET_VIBE~2,Verstopfung~A_TARGET_VIBE~2,Siphon~A_TARGET_VIBE~2,Dichtung~A_TARGET_VIBE~2"
Abstellraum,2,10,Haushalt & Wohnen,4,"Karton~A_TARGET_VIBE~2,Regal~A_TARGET_VIBE~2,Aufräumen~A_TARGET_VIBE~2,Keller~A_TARGET_VIBE~2"
Abtropfgitter,4,10,Haushalt & Wohnen,6,"Spüle~A_TARGET_VIBE~3,Tropfen~A_TARGET_VIBE~3,Rillen~A_TARGET_VIBE~3,Nass~A_TARGET_VIBE~3,Ablage~A_TARGET_VIBE~3,Küchentuch~A_TARGET_VIBE~4"
Abtropfmatte,3,10,Haushalt & Wohnen,5,"Tropfen~A_TARGET_VIBE~2,Nass~A_TARGET_VIBE~2,Spüle~A_TARGET_VIBE~3,Rillen~A_TARGET_VIBE~3,Küchentuch~A_TARGET_VIBE~3"
Abzieher,3,10,Haushalt & Wohnen,5,"Gummi~A_TARGET_VIBE~2,Streifen~A_TARGET_VIBE~2,Fenster~A_TARGET_VIBE~3,Dusche~A_TARGET_VIBE~3,Putzen~A_TARGET_VIBE~3"
Adressbuch,2,9,Gesellschaft & Beruf,4,"Kontakt~A_TARGET_VIBE~2,Eintrag~A_TARGET_VIBE~2,Telefonnummer~A_TARGET_VIBE~2,Alphabet~A_TARGET_VIBE~2"
Akkuschrauber,2,6,Technik & Digitales,4,"Dübel~A_TARGET_VIBE~2,Bit~A_TARGET_VIBE~2,Akku~A_TARGET_VIBE~2,Späne~A_TARGET_VIBE~2"
Aktenmappe,3,0,Alltag & Gegenstände,5,"Register~A_TARGET_VIBE~2,Archiv~A_TARGET_VIBE~2,Lochung~A_TARGET_VIBE~3,Beschriftung~A_TARGET_VIBE~3,Stapel~A_TARGET_VIBE~3"
Aktenordner,4,0,Alltag & Gegenstände,6,"Register~A_TARGET_VIBE~3,Lochung~A_TARGET_VIBE~3,Archiv~A_TARGET_VIBE~3,Stapel~A_TARGET_VIBE~3,Beschriftung~A_TARGET_VIBE~3,Schreibtisch~A_TARGET_VIBE~4"
Allzweckreiniger,2,10,Haushalt & Wohnen,4,"Sprühkopf~A_TARGET_VIBE~2,Fett~A_TARGET_VIBE~2,Wischen~A_TARGET_VIBE~2,Duft~A_TARGET_VIBE~2"
Altpapier,1,10,Haushalt & Wohnen,4,"Recycling~A_TARGET_VIBE~2,Sortieren~A_TARGET_VIBE~2,Zeitung~A_TARGET_VIBE~2,Bündel~A_TARGET_VIBE~2"
Alufolie,2,0,Alltag & Gegenstände,4,"Rolle~A_TARGET_VIBE~2,Glänzend~A_TARGET_VIBE~2,Abdecken~A_TARGET_VIBE~2,Knistern~A_TARGET_VIBE~2"
Anspitzer,2,0,Alltag & Gegenstände,4,"Mine~A_TARGET_VIBE~2,Brösel~A_TARGET_VIBE~2,Schule~A_TARGET_VIBE~2,Federmäppchen~A_TARGET_VIBE~2"
Apfel,2,1|2,Essen & Trinken|Natur & Tiere,4,"Kerngehäuse~A_TARGET_VIBE~2,Biss~A_TARGET_VIBE~2,Kompott~A_TARGET_VIBE~2,Schale~A_TARGET_VIBE~2"
Armband,2,0,Alltag & Gegenstände,4,"Handgelenk~A_TARGET_VIBE~2,Verschluss~A_TARGET_VIBE~2,Perlen~A_TARGET_VIBE~2,Leder~A_TARGET_VIBE~2"
Aschenbecher,3,0,Alltag & Gegenstände,5,"Glut~A_TARGET_VIBE~2,Filter~A_TARGET_VIBE~2,Balkon~A_TARGET_VIBE~3,Geruch~A_TARGET_VIBE~3,Kneipe~A_TARGET_VIBE~3"
Ausweis,2,9,Gesellschaft & Beruf,4,"Foto~A_TARGET_VIBE~2,Amt~A_TARGET_VIBE~2,Kontrolle~A_TARGET_VIBE~2,Portemonnaie~A_TARGET_VIBE~2"
Backblech,2,1|10,Essen & Trinken|Haushalt & Wohnen,4,"Ofen~A_TARGET_VIBE~2,Backpapier~A_TARGET_VIBE~2,Plätzchen~A_TARGET_VIBE~2,Hitze~A_TARGET_VIBE~2"
Backform,3,1|10,Essen & Trinken|Haushalt & Wohnen,5,"Teig~A_TARGET_VIBE~2,Ofen~A_TARGET_VIBE~2,Ausfetten~A_TARGET_VIBE~3,Kuchen~A_TARGET_VIBE~3,Springen~A_TARGET_VIBE~3"
Backpapier,2,1|10,Essen & Trinken|Haushalt & Wohnen,4,"Rolle~A_TARGET_VIBE~2,Ofen~A_TARGET_VIBE~2,Kleben~A_TARGET_VIBE~2,Fett~A_TARGET_VIBE~2"
Backpinsel,4,1|10,Essen & Trinken|Haushalt & Wohnen,6,"Glasur~A_TARGET_VIBE~3,Teig~A_TARGET_VIBE~3,Streichen~A_TARGET_VIBE~3,Griff~A_TARGET_VIBE~3,Spüle~A_TARGET_VIBE~3,Kuchen~A_TARGET_VIBE~4"
