word,difficulty,genre_ids,genre_names,hint_count,hints
Kunst,1,4|12,Kultur & Kunst|Gefühle & Abstraktes,5,"Atelier~A_TARGET_VIBE~2,Inspiration~A_TARGET_VIBE~2,Vernissage~A_TARGET_VIBE~2,Ästhetik~A_TARGET_VIBE~2,Stil~A_TARGET_VIBE~2"
Abstraktion,4,4|12,Kultur & Kunst|Gefühle & Abstraktes,6,"Geometrie~A_TARGET_VIBE~3,Reduktion~A_TARGET_VIBE~3,Minimalismus~A_TARGET_VIBE~3,Konzept~A_TARGET_VIBE~3,Symbolik~A_TARGET_VIBE~3,Komposition~A_TARGET_VIBE~3"
Acrylfarbe,2,4,Kultur & Kunst,5,"Deckkraft~A_TARGET_VIBE~2,Farbtube~A_TARGET_VIBE~2,Leinwand~A_TARGET_VIBE~2,Trocknen~A_TARGET_VIBE~2,Spachtel~A_TARGET_VIBE~2"
Akkord,3,4,Kultur & Kunst,5,"Dur~A_TARGET_VIBE~3,Moll~A_TARGET_VIBE~3,Griff~A_TARGET_VIBE~3,Umkehrung~A_TARGET_VIBE~3,Saite~A_TARGET_VIBE~2"
Akkordeon,3,4,Kultur & Kunst,5,"Balg~A_TARGET_VIBE~3,Tasten~A_TARGET_VIBE~3,Knopf~A_TARGET_VIBE~3,Riemen~A_TARGET_VIBE~2,Straßenmusik~A_TARGET_VIBE~2"
Akrobat,3,4|9,Kultur & Kunst|Gesellschaft & Beruf,5,"Zirkus~A_TARGET_VIBE~3,Trapez~A_TARGET_VIBE~3,Seil~A_TARGET_VIBE~3,Salto~A_TARGET_VIBE~3,Manege~A_TARGET_VIBE~2"
Akt,4,4|12,Kultur & Kunst|Gefühle & Abstraktes,6,"Modell~A_TARGET_VIBE~3,Atelier~A_TARGET_VIBE~3,Posen~A_TARGET_VIBE~3,Studie~A_TARGET_VIBE~3,Skizzenblock~A_TARGET_VIBE~3,Leinwand~A_TARGET_VIBE~3"
Allegorie,4,4|12,Kultur & Kunst|Gefühle & Abstraktes,6,"Symbol~A_TARGET_VIBE~3,Gleichnis~A_TARGET_VIBE~3,Deutung~A_TARGET_VIBE~3,Mehrdeutig~A_TARGET_VIBE~3,Figur~A_TARGET_VIBE~3,Interpretation~A_TARGET_VIBE~3"
Altstimme,3,4,Kultur & Kunst,5,"Chor~A_TARGET_VIBE~3,Stimme~A_TARGET_VIBE~3,Einsatz~A_TARGET_VIBE~3,Probe~A_TARGET_VIBE~2,Pult~A_TARGET_VIBE~2"
Amphitheater,4,3|4,Orte & Reisen|Kultur & Kunst,6,"Ränge~A_TARGET_VIBE~3,Akustik~A_TARGET_VIBE~3,Stein~A_TARGET_VIBE~3,Publikum~A_TARGET_VIBE~3,Freilicht~A_TARGET_VIBE~3,Bühne~A_TARGET_VIBE~3"
Anatomiezeichnung,4,4|7,Kultur & Kunst|Wissenschaft & Medizin,6,"Studie~A_TARGET_VIBE~3,Kontur~A_TARGET_VIBE~3,Schraffur~A_TARGET_VIBE~3,Skizze~A_TARGET_VIBE~3,Lehrbuch~A_TARGET_VIBE~3,Detail~A_TARGET_VIBE~3"
Animation,3,4|6,Kultur & Kunst|Technik & Digitales,5,"Storyboard~A_TARGET_VIBE~3,Schnitt~A_TARGET_VIBE~2,Studio~A_TARGET_VIBE~2,Frame~A_TARGET_VIBE~2,Projektor~A_TARGET_VIBE~2"
Anprobe,3,4,Kultur & Kunst,5,"Stoff~A_TARGET_VIBE~3,Naht~A_TARGET_VIBE~3,Schneider~A_TARGET_VIBE~2,Spiegel~A_TARGET_VIBE~2,Kostüm~A_TARGET_VIBE~2"
Anthologie,3,4,Kultur & Kunst,5,"Kapitel~A_TARGET_VIBE~2,Autor~A_TARGET_VIBE~2,Vorwort~A_TARGET_VIBE~2,Lesung~A_TARGET_VIBE~2,Verlag~A_TARGET_VIBE~2"
