word,difficulty,genre_ids,genre_names,hint_count,hints
Abendrot,2,11,Wetter & Himmel,4,"Horizont~A_TARGET_VIBE~2,Glühen~A_TARGET_VIBE~2,Silhouette~A_TARGET_VIBE~2,Dämmerung~A_TARGET_VIBE~2"
Abschlussfeier,3,9|13,Gesellschaft & Beruf|Feste & Jahreszeiten,5,"Abendkleid~A_TARGET_VIBE~3,Zeugnis~A_TARGET_VIBE~2,Klassenfoto~A_TARGET_VIBE~2,Sektglas~A_TARGET_VIBE~3,Rede~A_TARGET_VIBE~2"
Advent,3,13,Feste & Jahreszeiten,5,"Marzipan~A_TARGET_VIBE~3,Kalenderblatt~A_TARGET_VIBE~2,Päckchen~A_TARGET_VIBE~2,Glühwein~A_TARGET_VIBE~3,Nikolausstiefel~A_TARGET_VIBE~2"
Adventsfenster,4,13,Feste & Jahreszeiten,6,"Geschenk~A_TARGET_VIBE~4,Zimt~A_TARGET_VIBE~4,Kerzenlicht~A_TARGET_VIBE~3,Päckchen~A_TARGET_VIBE~3,Marzipan~A_TARGET_VIBE~4,Schneekugel~A_TARGET_VIBE~3"
Adventsgesteck,3,13,Feste & Jahreszeiten,5,"Tanne~A_TARGET_VIBE~2,Lichterkette~A_TARGET_VIBE~2,Kerzenlicht~A_TARGET_VIBE~2,Kranzbinden~A_TARGET_VIBE~3,Stern~A_TARGET_VIBE~3"
Adventskalender,2,13,Feste & Jahreszeiten,4,"Türchen~A_TARGET_VIBE~2,Päckchen~A_TARGET_VIBE~2,Kalenderblatt~A_TARGET_VIBE~2,Überraschung~A_TARGET_VIBE~2"
Adventskonzert,4,4|13,Kultur & Kunst|Feste & Jahreszeiten,6,"Chorprobe~A_TARGET_VIBE~4,Lied~A_TARGET_VIBE~3,Kerzenlicht~A_TARGET_VIBE~4,Stern~A_TARGET_VIBE~4,Musik~A_TARGET_VIBE~3,Stimmung~A_TARGET_VIBE~3"
Adventskranz,3,13,Feste & Jahreszeiten,5,"Grünzweig~A_TARGET_VIBE~3,Kerzenlicht~A_TARGET_VIBE~3,Schleife~A_TARGET_VIBE~2,Docht~A_TARGET_VIBE~2,Tannenzweig~A_TARGET_VIBE~2"
Adventslied,4,4|13,Kultur & Kunst|Feste & Jahreszeiten,6,"Musik~A_TARGET_VIBE~4,Chorprobe~A_TARGET_VIBE~4,Kerzenlicht~A_TARGET_VIBE~4,Krippe~A_TARGET_VIBE~3,Lied~A_TARGET_VIBE~3,Stern~A_TARGET_VIBE~3"
Adventssonntag,3,13,Feste & Jahreszeiten,5,"Gottesdienst~A_TARGET_VIBE~3,Kerzenlicht~A_TARGET_VIBE~2,Kalenderblatt~A_TARGET_VIBE~3,Lichterkette~A_TARGET_VIBE~2,Stimmung~A_TARGET_VIBE~3"
Adventszeit,2,13,Feste & Jahreszeiten,4,"Kerzenlicht~A_TARGET_VIBE~2,Zimtduft~A_TARGET_VIBE~2,Lichterkette~A_TARGET_VIBE~2,Päckchen~A_TARGET_VIBE~2"
Allerheiligen,4,13,Feste & Jahreszeiten,6,"Grablicht~A_TARGET_VIBE~3,Friedhof~A_TARGET_VIBE~4,Chrysantheme~A_TARGET_VIBE~3,Stille~A_TARGET_VIBE~3,Gedenken~A_TARGET_VIBE~3,Novemberkälte~A_TARGET_VIBE~4"
Anstoßen,3,1|13,Essen & Trinken|Feste & Jahreszeiten,5,"Sektglas~A_TARGET_VIBE~2,Toast~A_TARGET_VIBE~2,Klingen~A_TARGET_VIBE~2,Korken~A_TARGET_VIBE~2,Prost~A_TARGET_VIBE~3"
Apfelernte,3,2|13,Natur & Tiere|Feste & Jahreszeiten,5,"Erntekorb~A_TARGET_VIBE~2,Presse~A_TARGET_VIBE~2,Most~A_TARGET_VIBE~3,Kerngehäuse~A_TARGET_VIBE~3,Baumkrone~A_TARGET_VIBE~2"
Apfelkuchen,2,1|2,Essen & Trinken|Natur & Tiere,4,"Backofen~A_TARGET_VIBE~2,Streusel~A_TARGET_VIBE~2,Sahne~A_TARGET_VIBE~2,Puderzucker~A_TARGET_VIBE~2"
April,1,13,Feste & Jahreszeiten,4,"Kalender~A_TARGET_VIBE~2,Datum~A_TARGET_VIBE~2,Planung~A_TARGET_VIBE~2,Ferien~A_TARGET_VIBE~2"
Aschermittwoch,3,13,Feste & Jahreszeiten,6,"Kater~A_TARGET_VIBE~3,Fastenzeit~A_TARGET_VIBE~3,Heringssalat~A_TARGET_VIBE~2,Konfettireste~A_TARGET_VIBE~2,Predigt~A_TARGET_VIBE~3,Kehraus~A_TARGET_VIBE~3"
August,1,13,Feste & Jahreszeiten,4,"Kalender~A_TARGET_VIBE~2,Datum~A_TARGET_VIBE~2,Ferien~A_TARGET_VIBE~2,Planer~A_TARGET_VIBE~2"
Backblech,2,1|10,Essen & Trinken|Haushalt & Wohnen,4,"Backofen~A_TARGET_VIBE~2,Teig~A_TARGET_VIBE~2,Glasur~A_TARGET_VIBE~2,Streusel~A_TARGET_VIBE~2"
Badebecken,2,3|5,Orte & Reisen|Sport & Freizeit,4,"Chlor~A_TARGET_VIBE~2,Liegewiese~A_TARGET_VIBE~2,Handtuch~A_TARGET_VIBE~2,Sprungbrett~A_TARGET_VIBE~2"
