word,difficulty,genre_ids,genre_names,hint_count,hints
Abmeldung,3,6,Technik & Digitales,4,"Login~A_TARGET_VIBE~2,Profil~A_TARGET_VIBE~2,Alias~A_TARGET_VIBE~3,Captcha~A_TARGET_VIBE~3"
Abonnement,3,6|9,Technik & Digitales|Gesellschaft & Beruf,4,"Rechnung~A_TARGET_VIBE~2,Rabatt~A_TARGET_VIBE~2,Kündigung~A_TARGET_VIBE~3,Vertrag~A_TARGET_VIBE~2"
Abonnementpreis,3,6|9,Technik & Digitales|Gesellschaft & Beruf,4,"Rechnung~A_TARGET_VIBE~2,Rabatt~A_TARGET_VIBE~2,Kündigung~A_TARGET_VIBE~3,Vertrag~A_TARGET_VIBE~2"
Absturz,2,6,Technik & Digitales,4,"Bug~A_TARGET_VIBE~3,Fehlermeldung~A_TARGET_VIBE~2,Protokoll~A_TARGET_VIBE~2,Hänger~A_TARGET_VIBE~3"
Adapter,2,0|6,Alltag & Gegenstände|Technik & Digitales,4,"Stecker~A_TARGET_VIBE~2,Buchse~A_TARGET_VIBE~2,Kompatibilität~A_TARGET_VIBE~3,Spannung~A_TARGET_VIBE~3"
Administrator,2,6,Technik & Digitales,4,"Privileg~A_TARGET_VIBE~3,Rolle~A_TARGET_VIBE~2,Freigabe~A_TARGET_VIBE~2,Audit~A_TARGET_VIBE~3"
Akku,1,0|6,Alltag & Gegenstände|Technik & Digitales,4,"Ladegerät~A_TARGET_VIBE~2,Prozent~A_TARGET_VIBE~2,Stromsparmodus~A_TARGET_VIBE~3,Zelle~A_TARGET_VIBE~3"
Akkustand,2,0|6,Alltag & Gegenstände|Technik & Digitales,4,"Prozent~A_TARGET_VIBE~2,Ladebalken~A_TARGET_VIBE~2,Restzeit~A_TARGET_VIBE~3,Stromsparmodus~A_TARGET_VIBE~3"
Aktivierung,3,6,Technik & Digitales,4,"Version~A_TARGET_VIBE~2,Patch~A_TARGET_VIBE~3,Changelog~A_TARGET_VIBE~3,Neustart~A_TARGET_VIBE~2"
Aktivierungscode,3,6,Technik & Digitales,4,"Privileg~A_TARGET_VIBE~3,Rolle~A_TARGET_VIBE~2,Freigabe~A_TARGET_VIBE~2,Audit~A_TARGET_VIBE~3"
Aktualisierung,3,6,Technik & Digitales,4,"Version~A_TARGET_VIBE~2,Patch~A_TARGET_VIBE~3,Changelog~A_TARGET_VIBE~3,Neustart~A_TARGET_VIBE~2"
Algorithmus,4,6|7,Technik & Digitales|Wissenschaft & Medizin,4,"Heuristik~A_TARGET_VIBE~3,Schleife~A_TARGET_VIBE~3,Sortierung~A_TARGET_VIBE~3,Komplexität~A_TARGET_VIBE~3"
Anbieter,2,6,Technik & Digitales,4,"Einstellung~A_TARGET_VIBE~2,Option~A_TARGET_VIBE~2,Menü~A_TARGET_VIBE~2,Symbol~A_TARGET_VIBE~2"
Angriff,2,6,Technik & Digitales,4,"Malware~A_TARGET_VIBE~3,Phishing~A_TARGET_VIBE~3,Zertifikat~A_TARGET_VIBE~3,Schlüssel~A_TARGET_VIBE~2"
Anhang,2,6,Technik & Digitales,4,"Einstellung~A_TARGET_VIBE~2,Option~A_TARGET_VIBE~2,Menü~A_TARGET_VIBE~2,Symbol~A_TARGET_VIBE~2"
Animation,3,6,Technik & Digitales,4,"Einstellung~A_TARGET_VIBE~2,Option~A_TARGET_VIBE~2,Menü~A_TARGET_VIBE~2,Symbol~A_TARGET_VIBE~2"
Anmeldung,2,6,Technik & Digitales,4,"Login~A_TARGET_VIBE~2,Profil~A_TARGET_VIBE~2,Alias~A_TARGET_VIBE~3,Captcha~A_TARGET_VIBE~3"
Anruf,1,6,Technik & Digitales,4,"Einstellung~A_TARGET_VIBE~2,Option~A_TARGET_VIBE~2,Menü~A_TARGET_VIBE~2,Symbol~A_TARGET_VIBE~2"
Anschluss,2,6,Technik & Digitales,4,"Einstellung~A_TARGET_VIBE~2,Option~A_TARGET_VIBE~2,Menü~A_TARGET_VIBE~2,Symbol~A_TARGET_VIBE~2"
Antenne,3,6,Technik & Digitales,4,"Einstellung~A_TARGET_VIBE~2,Option~A_TARGET_VIBE~2,Menü~A_TARGET_VIBE~2,Symbol~A_TARGET_VIBE~2"
Anwendung,3,6,Technik & Digitales,4,"Einstellung~A_TARGET_VIBE~2,Option~A_TARGET_VIBE~2,Menü~A_TARGET_VIBE~2,Symbol~A_TARGET_VIBE~2"
Anzeige,2,6,Technik & Digitales,4,"Icon~A_TARGET_VIBE~2,Button~A_TARGET_VIBE~2,Popup~A_TARGET_VIBE~3,Tooltip~A_TARGET_VIBE~3"
Arbeitsspeicher,3,6,Technik & Digitales,4,"Cloud~A_TARGET_VIBE~2,Ordner~A_TARGET_VIBE~2,Dateigröße~A_TARGET_VIBE~2,SSD~A_TARGET_VIBE~3"
Archiv,2,6,Technik & Digitales,4,"Cloud~A_TARGET_VIBE~2,Ordner~A_TARGET_VIBE~2,Dateigröße~A_TARGET_VIBE~2,SSD~A_TARGET_VIBE~3"
Archivierung,4,6,Technik & Digitales,4,"Cloud~A_TARGET_VIBE~3,Ordner~A_TARGET_VIBE~3,Dateigröße~A_TARGET_VIBE~3,SSD~A_TARGET_VIBE~3"
Audiodatei,3,6,Technik & Digitales,4,"Lautsprecher~A_TARGET_VIBE~2,Mikrofon~A_TARGET_VIBE~2,Kopfhörer~A_TARGET_VIBE~2,Rauschen~A_TARGET_VIBE~3"
Audiosignal,3,6,Technik & Digitales,4,"Lautsprecher~A_TARGET_VIBE~2,Mikrofon~A_TARGET_VIBE~2,Kopfhörer~A_TARGET_VIBE~2,Rauschen~A_TARGET_VIBE~3"
Auflösung,3,6,Technik & Digitales,4,"Pixel~A_TARGET_VIBE~2,Zoom~A_TARGET_VIBE~2,Belichtung~A_TARGET_VIBE~3,Schärfe~A_TARGET_VIBE~3"
Aufzeichnung,3,6,Technik & Digitales,4,"Pixel~A_TARGET_VIBE~2,Zoom~A_TARGET_VIBE~2,Belichtung~A_TARGET_VIBE~3,Schärfe~A_TARGET_VIBE~3"
Auswahlmenü,3,6,Technik & Digitales,4,"Icon~A_TARGET_VIBE~2,Button~A_TARGET_VIBE~2,Popup~A_TARGET_VIBE~3,Tooltip~A_TARGET_VIBE~3"
Authentifizierung,4,6,Technik & Digitales,4,"Privileg~A_TARGET_VIBE~3,Rolle~A_TARGET_VIBE~3,Freigabe~A_TARGET_VIBE~3,Audit~A_TARGET_VIBE~3"
Autofokus,3,6,Technik & Digitales,4,"Pixel~A_TARGET_VIBE~2,Zoom~A_TARGET_VIBE~2,Belichtung~A_TARGET_VIBE~3,Schärfe~A_TARGET_VIBE~3"
Autokorrektur,3,6,Technik & Digitales,4,"Einstellung~A_TARGET_VIBE~2,Option~A_TARGET_VIBE~2,Menü~A_TARGET_VIBE~2,Symbol~A_TARGET_VIBE~2"
Automatisierung,4,6,Technik & Digitales,4,"Einstellung~A_TARGET_VIBE~3,Option~A_TARGET_VIBE~3,Menü~A_TARGET_VIBE~3,Symbol~A_TARGET_VIBE~3"
Bandbreite,3,6,Technik & Digitales,4,"WLAN~A_TARGET_VIBE~2,Router~A_TARGET_VIBE~2,IP~A_TARGET_VIBE~2,DNS~A_TARGET_VIBE~3"
Barcode,3,6,Technik & Digitales,4,"Einstellung~A_TARGET_VIBE~2,Option~A_TARGET_VIBE~2,Menü~A_TARGET_VIBE~2,Symbol~A_TARGET_VIBE~2"
Batterie,1,6,Technik & Digitales,4,"Einstellung~A_TARGET_VIBE~2,Option~A_TARGET_VIBE~2,Menü~A_TARGET_VIBE~2,Symbol~A_TARGET_VIBE~2"
Bauteil,3,6,Technik & Digitales,4,"Einstellung~A_TARGET_VIBE~2,Option~A_TARGET_VIBE~2,Menü~A_TARGET_VIBE~2,Symbol~A_TARGET_VIBE~2"
Beamer,2,6,Technik & Digitales,4,"Einstellung~A_TARGET_VIBE~2,Option~A_TARGET_VIBE~2,Menü~A_TARGET_VIBE~2,Symbol~A_TARGET_VIBE~2"
Bedienfeld,3,6,Technik & Digitales,4,"Einstellung~A_TARGET_VIBE~2,Option~A_TARGET_VIBE~2,Menü~A_TARGET_VIBE~2,Symbol~A_TARGET_VIBE~2"
Bedienung,2,6,Technik & Digitales,4,"Einstellung~A_TARGET_VIBE~2,Option~A_TARGET_VIBE~2,Menü~A_TARGET_VIBE~2,Symbol~A_TARGET_VIBE~2"
Befehl,3,6,Technik & Digitales,4,"Einstellung~A_TARGET_VIBE~2,Option~A_TARGET_VIBE~2,Menü~A_TARGET_VIBE~2,Symbol~A_TARGET_VIBE~2"
Beitrag,2,6,Technik & Digitales,4,"Einstellung~A_TARGET_VIBE~2,Option~A_TARGET_VIBE~2,Menü~A_TARGET_VIBE~2,Symbol~A_TARGET_VIBE~2"
Belichtung,3,6,Technik & Digitales,4,"Pixel~A_TARGET_VIBE~2,Zoom~A_TARGET_VIBE~2,Schärfe~A_TARGET_VIBE~3,Linse~A_TARGET_VIBE~2"
Benachrichtigung,2,6,Technik & Digitales,4,"Icon~A_TARGET_VIBE~2,Button~A_TARGET_VIBE~2,Popup~A_TARGET_VIBE~3,Tooltip~A_TARGET_VIBE~3"
