word,difficulty,genre_ids,genre_names,hint_count,hints
Kajak,3,2|3|5,Natur & Tiere|Orte & Reisen|Sport & Freizeit,6,"Wildwasser~A_TARGET_VIBE~3,Spritzdecke~A_TARGET_VIBE~3,Ufer~A_TARGET_VIBE~2,Stromschnelle~A_TARGET_VIBE~3,Neopren~A_TARGET_VIBE~3,Schwimmweste~A_TARGET_VIBE~2"
Kanal,1,2|3,Natur & Tiere|Orte & Reisen,5,"Stauwehr~A_TARGET_VIBE~3,Wasserstand~A_TARGET_VIBE~3,Uferweg~A_TARGET_VIBE~2,Brücke~A_TARGET_VIBE~2,Schleuse~A_TARGET_VIBE~3"
Kanu,3,2|3|5,Natur & Tiere|Orte & Reisen|Sport & Freizeit,6,"Bootshaus~A_TARGET_VIBE~3,Spritzdecke~A_TARGET_VIBE~3,Stromschnelle~A_TARGET_VIBE~3,Paddel~A_TARGET_VIBE~2,Ufer~A_TARGET_VIBE~2,Neopren~A_TARGET_VIBE~3"
Kapelle,3,3|4,Orte & Reisen|Kultur & Kunst,6,"Kerze~A_TARGET_VIBE~2,Glocke~A_TARGET_VIBE~2,Orgel~A_TARGET_VIBE~3,Altar~A_TARGET_VIBE~3,Andacht~A_TARGET_VIBE~2,Chor~A_TARGET_VIBE~2"
Kiesstrand,3,2|3,Natur & Tiere|Orte & Reisen,6,"Strandkorb~A_TARGET_VIBE~2,Salzluft~A_TARGET_VIBE~2,Möwe~A_TARGET_VIBE~2,Handtuch~A_TARGET_VIBE~2,Barfuß~A_TARGET_VIBE~2,Brandung~A_TARGET_VIBE~2"
Kilometerstein,3,3,Orte & Reisen,7,"Landstraße~A_TARGET_VIBE~2,Wegweiser~A_TARGET_VIBE~2,Randstreifen~A_TARGET_VIBE~3,Inschrift~A_TARGET_VIBE~3,Moos~A_TARGET_VIBE~3,Entfernung~A_TARGET_VIBE~3,Stein~B_PART_VIBE~3"
Kirche,2,3|4,Orte & Reisen|Kultur & Kunst,6,"Kanzel~A_TARGET_VIBE~3,Chor~A_TARGET_VIBE~2,Kerze~A_TARGET_VIBE~2,Kirchenbank~A_TARGET_VIBE~3,Orgel~A_TARGET_VIBE~3,Glocke~A_TARGET_VIBE~2"
Klamm,3,2,Natur & Tiere,6,"Geländer~A_TARGET_VIBE~3,Schattenspiel~A_TARGET_VIBE~3,Wasserfall~A_TARGET_VIBE~3,Felswand~A_TARGET_VIBE~3,Feuchtigkeit~A_TARGET_VIBE~3,Trittsicherheit~A_TARGET_VIBE~4"
Klippe,4,2,Natur & Tiere,7,"Fels~A_TARGET_VIBE~3,Windböe~A_TARGET_VIBE~3,Aussichtspunkt~A_TARGET_VIBE~3,Möwe~A_TARGET_VIBE~2,Steilküste~A_TARGET_VIBE~3,Abgrund~A_TARGET_VIBE~4,Brandung~A_TARGET_VIBE~3"
Kloster,4,3|4,Orte & Reisen|Kultur & Kunst,7,"Orgel~A_TARGET_VIBE~3,Glocke~A_TARGET_VIBE~2,Kreuzgang~A_TARGET_VIBE~3,Andacht~A_TARGET_VIBE~2,Mönch~A_TARGET_VIBE~3,Kerze~A_TARGET_VIBE~2,Chor~A_TARGET_VIBE~2"
Koffer,3,3|10,Orte & Reisen|Haushalt & Wohnen,6,"Etikett~A_TARGET_VIBE~2,Schloss~A_TARGET_VIBE~2,Riemen~A_TARGET_VIBE~2,Handgriff~A_TARGET_VIBE~2,Packen~A_TARGET_VIBE~2,Gepäckband~A_TARGET_VIBE~3"
Kofferanhänger,3,3|10,Orte & Reisen|Haushalt & Wohnen,6,"Adressfeld~A_TARGET_VIBE~3,Etikett~A_TARGET_VIBE~3,Barcode~A_TARGET_VIBE~3,Schlaufe~A_TARGET_VIBE~3,Band~A_TARGET_VIBE~2,Gepäckband~A_TARGET_VIBE~3"
Kofferraum,2,3|10,Orte & Reisen|Haushalt & Wohnen,6,"Heckklappe~A_TARGET_VIBE~3,Laderaum~A_TARGET_VIBE~3,Rücksitz~A_TARGET_VIBE~2,Einkaufstasche~A_TARGET_VIBE~2,Reserverad~A_TARGET_VIBE~3,Klappe~A_TARGET_VIBE~2"
Kompass,3,3|6,Orte & Reisen|Technik & Digitales,7,"Raster~A_TARGET_VIBE~3,GPS~A_TARGET_VIBE~3,Magnet~A_TARGET_VIBE~3,Nord~A_TARGET_VIBE~3,Karte~A_TARGET_VIBE~2,Nadel~A_TARGET_VIBE~3,Peilung~A_TARGET_VIBE~4"
Konsulat,4,3|9,Orte & Reisen|Gesellschaft & Beruf,7,"Deklaration~A_TARGET_VIBE~3,Visum~A_TARGET_VIBE~3,Pass~A_TARGET_VIBE~2,Formular~A_TARGET_VIBE~2,Schalter~A_TARGET_VIBE~3,Stempel~A_TARGET_VIBE~3,Gebühr~A_TARGET_VIBE~3"
Kontrollpunkt,4,3|9,Orte & Reisen|Gesellschaft & Beruf,7,"Scanner~A_TARGET_VIBE~3,Warteschlange~A_TARGET_VIBE~2,Beamter~A_TARGET_VIBE~3,Kontrolle~A_TARGET_VIBE~3,Pass~A_TARGET_VIBE~2,Schalter~A_TARGET_VIBE~3,Stempel~A_TARGET_VIBE~3"
Koordinate,4,3|6,Orte & Reisen|Technik & Digitales,7,"Breitengrad~A_TARGET_VIBE~4,Längengrad~A_TARGET_VIBE~4,Raster~A_TARGET_VIBE~3,GPS~A_TARGET_VIBE~3,Karte~A_TARGET_VIBE~2,Peilung~A_TARGET_VIBE~4,Dezimal~A_TARGET_VIBE~3"
